"filename", "language", "JSON", "JSON with Comments", "JavaScript", "HTML", "TypeScript", "Vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\logoUser\index.vue", "Vue", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\searchTask\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 1, 1, 21
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\searchTask\index.vue", "Vue", 0, 0, 0, 0, 0, 63, 0, 0, 0, 18, 81
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\taskDetail\Comment.vue", "Vue", 0, 0, 0, 0, 0, 63, 0, 0, 0, 6, 69
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\taskDetail\LabelAdd.vue", "Vue", 0, 0, 0, 0, 0, 64, 0, 0, 0, 5, 69
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\taskDetail\deleteCommentModal.vue", "Vue", 0, 0, 0, 0, 0, 77, 0, 0, 3, 30, 110
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\taskDetail\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 2, 1, 20
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\taskDetail\index.vue", "Vue", 0, 0, 0, 0, 0, 670, 0, 0, 14, 86, 770
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\waitpage\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 6, 40
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\waitpage\index.vue", "Vue", 0, 0, 0, 0, 0, 202, 0, 0, 6, 19, 227
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\constants\backlogTask.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 36
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\constants\homeInfo.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 2, 72
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\constants\itemTask.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 23
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\main.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 1, 4, 17
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\router\index.js", "JavaScript", 0, 0, 173, 0, 0, 0, 0, 0, 33, 19, 225
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\stores\authStores\authStore.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\stores\authStores\forgotStore.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 3, 6, 53
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\stores\authStores\regisStore.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 0, 1, 9, 66
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\stores\index.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\stores\projectSettingStores\accessStores\accessStore.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 1, 2, 26
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\stores\projectSettingStores\detailStores\detailStore.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 1, 2, 26
